article_id,start,end,answered,votes,category,title,content
384828,2018-09-19,2018-10-19,0,30,외교/통일/국방,한국의 대통령  자격이 아닌 문재인 대통령,한국 대통령 자격으로  북한간게  맞는지 싶다. 북한환영 거리에 태극기는 찾아볼수  없고 한반도기 인공기 밖에 볼 수 없었다.  문재인 대통령은 우리 태극기까지 포기하고 한반도기로 나라 대표해서  간것 같은데  한반도기가 언제 우리 나라 대표 국기로  정해졌나. 나라의 국기 태극기도 부정하는 북한에 놀아나는 상황을   언론을 이용해  선동하고  있으니 한국 국민으로 개탄스러울 수 밖에 없다. 대통령이 태극기를  부정하고  국기로 인정받지도 않은 인공기로 나라를 대표해 간  이거 자체로도  법의 심판을 받을 심각하고 엄중한 문제다.   문재인 대통령  우리나라를 어디로  끌고가고 있나 이제는 완전히  지지 철회했고    믿었던 국민에게  곧   댓가를 치르게 된 전직 대통령 그듷만의 일이 절대 아니다.  더 큰 믿음과 신뢰를 주었던 국민의 실망 배신이 그들보다 더 큰 댓가를  치르게 할수 있음을 명심하시오
58843,2017-12-05,2018-01-04,0,0,안전/환경,우리나라 시간을 되찾읍시다....,박정희! 다카키 마사오가 천한페하에게 갖다 바친 우리나라 시간을 찾자!! 조선시대에 동경 120°를 표준선으로 했던 것을 일본의 식민지가 되던 해인 1910년4월1일부터 동경135°의 일본 기준시간을 따랐고! 해방 후 우리나라 시간을 회복하고자 하여 1954년3월21일부터 동경127°30'(서울)을 우리나라 표준시로 사용하였다! 그런데 다카키 마사오가 1961년5월16일 군사반란으로 권력을 장악하자마자 우리의 하늘을 천한페하에게 갖다 바치고자 1961년8월10일부터 동경135°선인 일본 표준시간을 식민지 때처럼 따르도록 했다! 이제 우리나라 시간을 되 찾읍시다! 되 찾아야합니다! !!
335145,2018-08-10,2018-09-09,0,3,일자리,노인복지정책에대하여,안녕하세요\n요즘사회적으로 문제가되는 고령사회 노인일자리에대한 기발한아이템이있어 청원합니다\n참고. 요즘각구청에서 실행하고있는 도시영농을\n주목할만합니다\n귀농은여건리안되고  일하고싶은데 일자리는없고\n그래서 종로에서 서성거리는 노인들의 추한모습을\n보면서 이렇게 청원합니다\n지금 시골노는땅도많이 있습니다\n휴경지나 국유지활용하기 정부차원에서 도시텃밭식으로  노인들이 소일거리삼아 견적을 할수있게  관리인을두고 경작을할수있도록 여건을만들어주고 수확된농산물은 노컬푸드같은걸운영하여 소비자직거래 할수있도록\n유도하시면 복잡한서울을떠나 한적한시골에서\n수익도창출하고 공기좋은곳에서 갈수있는데  누가거부하겠는가\n복지기금 몇푼준것조다 있지않을까요\n유지관리비용은 경작수입에서 조금식 거출하면\n관리될것같습니다\n면단위로  복지관을지어서 숙식하면서 자기텃밭을 가르며 여생을살수있게 정부의 배려가 꼭필요합니다\n능력에따라 경작규모를 도정하여  노년을 행복하게보낼수있도록  도와주세요  방법은 얼마든지\n있습니다  감사합니다
183881,2018-04-03,2018-05-03,0,17,미래,국회의원 고통분담해라 임금개혁해라,"우리나라 국회의원들이 받는 세비는 연간 1억4000만 원. 이는 세계경제협력개발기구(OECD)가입국 중 3번째로 많은 돈을 받고 있다. 이같은 세비는 1인당 국민소득에 5배가 넘는 큰 액수다. 여기에다 사무실 유지비, 기름값 등 부대 경비까지 추가로 9000만 원이 지급된다. 1년간 국회의원 한 명에게 최소 2억3 000만 원이 쓰여지는 셈이다. 그런데 보수에 대비한 효과는 OECD 가입국 중 세계 최하위라는 사실을 아는 사람은 없다. 국민과의 형평성 임금개혁이 중요하다\n성과없고 결근하고 보이콧만하는 정치인들이\n점점 조직적으로 본인들 보수는 챙기면서\n국민의 임금과 보수는 인색한 현실에 국회의원과 공직자들은 임금체계를 힘겨워하는 국민과 고통을\n분담해야한다고본다"
297960,2018-07-06,2018-08-05,0,4,외교/통일/국방,후방 부대의 실체,저는 부산 육군 보급부대에서 일햇던 병사입니다.\n저는 현재 의가사판정을 받고 제대를 기다리고 있습니다\n저희 부대는 나이많은 상사부사관들이 많은 부대입니다\n그들은 폭언과 욕설을 입에 달고 살고 x새끼 죽어퍼린다 뒤지고싶냐 같은 인신공격을 항상 병사하게 하며 지섬병 상사라는 사람은 자기 사적인 심부름을 병사에게 시키고 자기마음에 들지않으면 폭행  저는 그상사가 지갑을 뺏어가 2만원을 뺏긴적도 있습니다\n여기가 군대인지 20대청춘들을 괴롭히려고 만든 집단인지 모르겠습니다
24889,2017-10-31,2017-11-30,0,0,기타,대한민국은 부패한 경찰 연놈들의 사리사욕을 위한 그들만의 범죄천국입니다.,"대한민국은 부패한 경찰 연놈들의 사리사욕을 위한 그들만의 범죄천국입니다.\n대한민국은 부패한 경찰의 사리사욕을 위한 인권 유린국입니다.\n대한민국은 부패한 경찰의 사리사욕과 진급을 위해 처절한 고문까지 가하는 고문국입니다.\n대한민국은 부패한 경찰의 완전범죄를 위해 약물까지 사용하는 생체 실험국입니다.\n대한민국은 부패한 경찰의 진급과 실적을 위해 국민의 혈세로 장만한 첨단 범죄기구도 사용하는 범죄국입니다.\n대한민국은 부패한 경찰의 사리사욕과 진급을 위해 무고한 국민들을 상대로 범죄를 기획하여 만들고 재산 갈취와 재산 파괴를 반복하며 죽을때까지 인권유린과 살해위협과 약물사용과 처절한 고문을 가하기 때문에 자살률이 OECD 국가중 가장 높은 것으로 생각하고 있습니다.\n저 또한 부패한 경찰들의 파렴치하고 잔인한 불법만행으로 두번이나 자살을 시도 했으나 다시 살아나 죽는 것 보다 못한 생을 살고 있으며, 부패한 경찰들의 범죄천국에서 비참하게 생존해 있는 것입니다.\n따라서 대한민국은 부패한 경찰의 사리사욕과 진급을 위한 그들만의 범죄천국인 것입니다.\n대한민국의 부패한 경찰은 사리사욕과 진급을 위해서 존재하지.\n결코,\n법치를 위해,\n정의를 위해,\n공익을 위해,\n국가를 위해 존재하지 않으며\n국민을 위해 존재하지 않습니다.\n그럼에도 대한민국 정부는 해마다 엄청난 국민의 혈세를 부패한 경찰들의 범죄 천국에서 완전범죄를 위해 사용되고 있는 파렴치하고 잔인하며 극악무도한 국가 범죄전문조직 부패한 경찰조직에게 지급하고 있습니다.\n따라서 반드시 부패한 경찰조직의 개혁은 절실한 것입니다.\n파렴치하고 잔인하며 극악무도한 범죄자 경찰 이재각이를 국제사법 재판소에 제소하여 엄벌하라!\n묻지마 살인극도 부패한 경찰이 무고한 사람들을 상대로 사리사욕과 진급을 위해 인권유린과 불법감금과 고문과 살해위협을 가하기 때문에 발생하고 있으며, 강간사건도 부패한 경찰이 사리사욕과 진급을 위해 무고한 사람들을 상대로 성적약물을 사용하기 때문에 발생하고 있습니다.\n또한 살해위협과 집중적인 처절한 고문을 가하면서 생체실험용 독극물도 20년이 넘게 사용해 왔습니다.\n국가 범죄 전문조직 부패한 경찰이 살해위협을 가하면서 집중적인 처절한 고문을 가하면 독극물에 의한 혀를 뽑아버리고 싶을 정도의 혀의 통증과 호흡 곤란증상, 그리고 목에서 피가 넘어오는 증상도 있었습니다.\n따라서 대한민국 부패한 경찰조직은 개혁이 절실하며, 국민들은 부패한 경찰의 사리사욕을 위한 불법만행속에 속고 있으며, 대한민국의 치안은 고양이에게 생선을 맞겨 놓고 있는 격입니다.\n그러므로 끊이지 않고 강력범죄가 발생하고 있으므로 반드시 썩어빠진 국가범죄 전문조직 부패한 경찰조직을 개혁해야 하며, 본 사건에 대한 철저한 수사를 통해 파렴치하고 잔인한 범죄자 경찰 이 재각(성남 중부경찰서 소속, 지금의 성남 수정경찰서)이와 본 사건과 관련된 악마의 조직 경찰 범죄자들을 색출하여 구속 수사하고 공소시효에 상관 없이 전원 국제사법 재판소에 제소하여 엄벌에 처해야합니다.\n부패한 대한민국 경찰의 계급장은 무고한 국민들을 상대로 사리사욕과 진급을 위해 세상에서 가장 파렴치하고 잔인하며 극악무도한 범죄를 기획한 대가요,\n부패한 경찰이 재벌행세하는 재산은 무고한 국민들을 협박하고 재산을 갈취해간 국민들의 피와 땀과 눈물입니다.\n대한민국은 국민의 원수 국가범죄 전문조직 경찰, 혈세로도 부족해서 무고한 국민들의 피를 빨아먹고 살아가는 국가범죄 전문조직 부패한 경찰이 15만명에 이르고 있습니다.\n나의 원수이자 무고한 국민들의 원수는 살아서도 사리사욕에 미처 무고한 국민들에게 온갖 불법만행을 일삼고 있으며, 자신들의 불법만행은 축소은폐시키고 있는 대한민국 부패한 경찰이요,\n죽어서도 공익을 위한 조직이 아닌 사리사욕에 미처서 오직 완전 범죄만을 위해 국민들의 혈세를 낭비하며 온갖 불법만행을 일삼고 있는 대한민국 부패한 경찰 15만명과 그 일가족입니다.\n상세내용\n국회홈페이지\n[소통마당 - 국민제안 - (부패한 경찰의 개혁 없이는 대한민국의 미래는 없습니다.)를 참조하세요 ]\n국회 홈페이지에 올린 글은\n썩어도 너무 썩어버린 부패한 대한민국 경찰 15만명의 사리사욕을 위한 거대한 범죄전문 집단, 날강도 조직 입니다. 따라서 자체적으로는 정화가 불가능한 세상에서 가장 파렴치하고 잔인하며 극악무도한 범죄 전문조직으로 반드시 관련자 전원을 국제사법 재판소에 제소하여 엄벌에 처해야 이땅에 법치가 바로서고 민주주의가 바로서며 정의가 실현될 수 있을 것 입니다.\n​\n행정안전부 김부겸 장관께서는\n썩을대로 썩어 범죄 전문조직에 불과한 사리사욕을 위해 존재하는 부패한 대한민국 경찰조직을 개혁해 주십시요!\n​"
365944,2018-09-04,2018-10-04,0,3,미래,편의점알바생이반말했다고 억울함호소한 부부 엄격하게조치취해주세요,편의점알바생이 반말했다고 억울함호소한 부부\n엄격하게 조치취해주세요 알고봤더니 자기네들이\n먼저 야 라면 이거밖에없어 이랬으면서 알바생이 반말했다고 억울한거지? 대접받고싶으면 먼저대접을해주세요 이번뿐만아니라 편의점알바생에게 반말하는사람들은 많습니다\n자기들보다 나이가적게보이면 무조건 반말해도됩니까? 알바생이라고해서 무시해도됩니까?\n나이가벼슬입니까? 알바생도 똑같은사람입니다\n편의점뿐만아니라 다른곳에서도 손님이 알바생에게\n반말하고 욕하고 그럽니다 강력하게 조치취해주세요\n알바생도 집에가면 부모님의 사랑스러운자식입니다
277206,2018-06-20,2018-07-20,0,1,농산어촌,돈 없는게  --  죄 -- 입니까? ...도와주세요,"경찰관들의 CCTV증거삭제와 조작된 사진증거물\n증거도 없이 재판에 넘긴 검사\n고을 사또식으로 판결한 찌끄레기판사들…..\n찌끄레기들이 내린 ㅡㅡ무전 유죄 사건을ㅡㅡ 국민들힘으로 다시 판결받고 싶어 청원합니다 …………..\n경찰은 이 사건에서 가장 중요한 CCTV 증거를 삭제 인멸 하고 조작된 사진을 증거라고 제출하였습니다 경찰은 이 사건 전 후의 영상들은 저장되어 있지만 사건 당시의 CCTV영상물은 없다 라는 변명도 모자라 도리어 폭행을 하지 않은 피고인을 강제 연행하여 공무집행방해죄로 구속 시켰습니다\n참고 // 이 사건 전후의 CCTV영상은 저장되어 있으나 “사건 당시 자료” 없음이라는 ㅇㅇ경찰서 사실조회 답변서도 있습니다\n공용물건손상죄의 순찰차 문짝 사진도 조작된 사진 입니다\n견적 69만원 이라던 순찰차도 3년5개월이 지난 지금까지도 수리 하지 않았습니다\n( 경찰이 제출한견적서를 여러군데 공업사에 보여주니깐 그런 견적은 처음보는 견적이며 이렇게 나올수 없는 견적이라고 합니다 )\n저는 2015년 3월26일 00시 01 분경 사건 현장에서 우연히 채무자를 발견하여 그 채무자를 붙잡으려고 쫒아 갔다가 놓치고 돌아 오던 중 B모경찰관과 처음 맞닥뜨렸습니다\nB모경찰관은 피고인의 몸을 붙잡고 이차 주인 맞냐? 음주운전 했느냐? 등등을 물어보면서 저의 몸을 놓지 않고 계속 붙잡고 따라왔습니다 제가 B모경찰관에게 이거 놓으라고 하면서 계속 걸어가며 실랑이를 하고 있을 때 때마침 택시가 와서 택시에 타려고 했는데 그경찰관이 피고인의 몸을 막으며 택시를 못타게 하였고 택시가 출발한 후 다른 경찰관들까지 합세하여 저를 강제로 순찰차에 태웠습니다\n순찰차에 타지 않으려는 저를 강제로 순찰차 안으로 밀어 넣으려 하다가 저의 팔이 순찰차 뒷문에 찡겨서 아프다고 비명을 지르는데도 불구하고 경찰관들은 오히려 “이쌔끼야 디져뿌레라” 하면서 뒷문을 더 세게 밀었습니다 이런 이유때문에 순찰차 뒷문틈이 조금 벌어졌을 수도 있는데 경찰관들은 제가 발로 차서 그랬다는 어이 없는 거짓말로 세상을 속이고 있습니다 경찰관들은 제가 순찰차 뒷문을 발로 수회 찼다고 했는데 설령 제가 수회씩이나 찼다면 발로 찬 장면 만이라도 증거로 내 놓을건데 왜 cctv 증거는 전혀 내 놓지 않고 오히려 삭제시켰습니다\n제가 발로 찬 사실이 없기에 순찰차 cctv,또는 블랙박스에는 제가 발로 찬 영상이 없을 뿐더러 저의 팔이 뒷문에 찡겨서 아프다고 했는데도 경찰관들은 “욕을하며 밀어붙이는 영상이"" 고스란히 녹화되어 있었기 때문에 경찰관들은 이 위법한 사실이 발각 될까봐 그 영상을 고의로 삭제해 버리고 조작된 사진을 증거라고 내 놓았습니다\nㅡㅡㅡㅡ증거 인멸에 대하여 ….\n조작된 사진까지 증거라고 내세운 경찰이 왜? cctv영상은 삭제 했을까요?\n경찰관들은 저를 현행범인 체포를 위해 제가 운행했던 승용차의 사진<수사보고 1264> 순찰차파손 사진<수사보고1243>지구대 근무일지<수사보고1244> 심지어 제가 마셨던 술의 종류와 양 그리고 마신 시간<수사보고1265> 까지도 수사보고서로 만드는 치밀함을 보인 경찰관들이 유독 CCTV 저장매체에 대한 증거로는 단 1점도 내 놓지 않았습니다\n이 사건 공무집행방해죄는 순찰차 바로 앞에서 발생했으며 공용물건 손상죄는 순찰차 내부에서 발생했습니다\n순찰차 앞에서 발생한 사건은 순찰차 블랙박스에 저장 되 있을 것이며 공용물건손상죄의 장소는 순찰차 내부에서 발생했기 때문에 순찰차내부 cctv에 녹화 되어 있었습니다.\n저의 사건은 경찰관4명 (이모,장모,권모,곽모) 베테랑수사관7명( 조모,서모,최모, 김모, 박모, 강모, 정모) 담당검사 및 조사관등 총 13명의 전문가들이 참석해 만든 작품에서 가장 중요한 CCTV영상을 빠뜨렸다는 것은 논리와 경험칙에서도 어긋나는 상식이며 도저히 납득할 수 없는 일입니다\n....고의로 빠뜨리지 않고서야 이사건의 가장 핵심적 증거인 cctv영상을 어떻게 빠트릴 수 있겠습니까?\n이 사건 전후의 cctv영상은 저장되어 있으나 “사건 당시 자료” 없음이라는 정말 어이없는 경찰 사실조회답변서에 뻥 터졌습니다\n왜? 왜? 그 전날 영상도 저장되어 있는데 하필이면 그날자 영상이 없는지 납득이 안됩니다 “왜 cctv영상을 제출하지 않고 고의로 삭제 했는지?” 에 대한 사실을 깊이있게 생각해 주십시오\nㅡㅡㅡ 조작된 증거 사진 .....\n순찰차 사진들을보면 밤에 촬영된 사실을 알 수가 있으며 또한 저의 신발 자국이라고 촬영된 사진을 자세히 보시면 후레시 불빚도 없이 촬영 하여 이는 차동차 외부에서 촬영 되었다는 사실이 입증됩니다.\n왜냐하면 진한 선팅이 된 순찰차 실내는 어두워서 후레시 불빚 없이는 촬영을 할 수가 없습니다 또한 모든 자동차 내,,외부의 유리 반사면은 서로가 다르게 비춰집니다\n자동차 내부유리면은 오목해서 반사된 형체가 크게 보이지만 외부 유리면은 볼록해서 반사된 형체가 오히려 작게 보이며 피고인의 신발자국이라고 촬영된 사진에서도 반사된 형체가 작게 보입니다\n그렇다면 이 사진은 외부에서 찍은 사진이라는 것이 증명됩니다’\n순찰차 안에서 발로 차서 차량 문이 바깥으로 비틀어졌는데 어떻게 신발자국이 차량 외부에 찍혀 있는지 도저히 납득이 안됩니다 설령 순찰차 내부 유리에 신발자국이 찍혀 있다고 해도 진한 선팅 때문에 바깥에서는 보이지 않습니다.\n순찰차 내부 유리에 찍힌 신발자국이라고 가정을 해도 증거 사진을 촬영하는 경찰관이 과연 그 증거 사진도 외부에서 촬영할까요?\n..........경찰의 황당한 증언 ...... A경관의 1차 참고인 진술조서에는 “음주 단속중 조모씨가 운전하는 차량이 소백 사거리에서 분수대 방면으로 오다가 음주 단속지 전방 50미터 앞에서 차량을 정차시키는 것을 보고 저와 동료 B경관이 그 곳에 가서 조모씨를 보고 인적 상항을 확인하려고 하니 갑자기 길 반대 편으로 뛰어 가는 것을보고 제지하니 그때 발로 B경관의 낭심을 1회 차는 것을 보았다“라고 구체적으로 자세히 진술 하였으나 1심 재판 증언에서는 “조모씨가 차를 정차시키는 것을 보지 못했고 나중에 B 경관과 옥신각신 실랑이를 할 때 처음 보았다”라는 일관성이 없는 증언을 했습니다\n또한 A B경찰관들의 상반된 증언은 끝이 없습니다 A경찰관의 목격담은 B경관이 피고인의 발에 차였을 당시 “B경관이 푹~ 쓰러 졌다” 라고 증언했으나 정작 B경관 당사자는 “그냥 뒤로 물러 서며 가만히 서 있었다“ 라는 전혀 다른 증언을 했습니다 …...푹~ 쓰러졌다 VS 가만히 서있었다\n또한 어떻게 하다가 낭심을 차였나의 질문에 목격자 A 경찰관은 “조모씨가 차도로 뛰어 들 때 피고인을 잡으니깐 B경관을 찼다”라고 증언했으나 B경찰관은 “조모씨가 택시에 타려고하여 못 타게 잡으니깐 찼다” 라는 전혀다른 상반된 증언도 했는데 서로 상반된 이런 증언을 증거로 채택한 1심과 대법원은 귀가 안들리고 눈이 안보이는 장님이 판결을 했나봅니다.\nㅡㅡㅡㅡ 또하나 ,, ,법률적인 억울함도 있습니다 ............\n기명날인 없는 현행범인체포서(형소법57조1항)와 석연치 않는 임의동행 보고서 ㅡㅡㅡㅡ\n저를 현행범인 체포한 A 경찰관은 법정에서 위 현행범인 체포서를 작성한 적이없다고 증언했습니다\n임의동행 보고서 역시 작성자 이름에 “A모 B모” 라고 적혀 있고 B모경찰관의 도장까지 찍혀 있으나 법정 증언에서는 두 경찰관 모두 위 “임의동행 보고서는 잘못 꾸민 것 같다” 라고 증언했습니다.\n저를 지구대가 아닌 경찰서로 강제 연행해 왔지만 저의 음주운전 현행범인 체포 요건으로 적합하지 않아 급한 마음으로 ……공무집행방해죄를 추가 시키고 임의동행 보고서까지 작성하여 첨부했으나 막상 뒤 늦게 법정에서는 A모 B모 경찰관 모두 위 “현행범인체포서와 임의동행 보고서” 조차도 자기들은 작성하지 않았고 잘못 꾸민 서류같다” 라고 증언했습니다\n경찰관 2명의 증언이 서로가 다르고 일관성이 없는 거짓된 증언과 보고서들만 봐도 항소심과 대법원은 심리를 다하지 않은 채 오판하였음을 알수가 있습니다\nㅡㅡㅡㅡ저의 사건에서 “현행범인 체포서”에는 작성자의 기명날인 또는 서명이없습니다 ㅡㅡㅡ\n형사소송법 57조 제1항에는“ 공무원이 작성하는 서류에는 법률에 다른 규정이없는 때에는 작성 년월일과 소속공무소를 기재하고 기명날인 또는 서명하여야 한다”라고 명시되어 있으며 같은법 제327조 제2호 ""공소제기의 절차가 법률의 규정에 위반하여 무효인 때"" 라고 명시했습니다\n형사소송법제57조 제1항은 “공무원이 작성하는서류에는 법률에 다른 규정이 없는 때에는 작성 연월일과 소속공무소를 기재하고 기명날인 또는 서명하여야 한다”고정하고 있고. 여기서 공무원이 작성하는 서류’에는 경찰관의 현행범인 체포서가 포함되므로, 경찰관의 기명날인 또는 서명이 없는 상태로 제출된 현행범인체포서는 형사소송법 제57조 제1항에 위반된 서류라 할 것입니다\n또한 이와 같이 법률이 정한 형식을 갖추지 못한 형행범인체포서에 의한 공소의 제기는 특별한 사정이 없는 한 그 절차가법률의 규정에 위반하여 (형사소송법 제327조 제2호 공소제기의 절차가 법률의 규정에 위반하여 무효인 때) 무효인 때에 해당합니다.\n이 사건은 원심에서도 현행범인체포서와 임의동행보고서에 대한 증언이 이루어졌는데도 항소심과 대법원은 형사소송법 제57조 제1항이 요구하는 경찰관의 기명날인 또는 서명이 없는 사실을 간과하였으며 그럼에도 현행범인체포서의 기명날인 또는 서명을 하지 않은 하자를 간과한채 공소를 유죄 판결로 선고한 1심법원과 대법원 판사 찌끄레기는 무엇으로 판결을 했는지 의문입니다\n형사재판에서 공소된 범죄사실에 대한 입증책임은 검사에게 있는 것이고 유죄의 인정은 법관으로 하여금 합리적인 의심을 할 여지가 없을 정도로 공소사실이 진실한 것이라는 확신을 가지게 하는 증명력을 가진 증거에 의하여야 하므로 그와 같은 증거가 없다면 설령 피고인에게 유죄의 의심이 간다 하더라도 피고인의 이익으로 판단할 수밖에 없다 (대법원 2001. 2. 9. 선고2000도4946 판결 2001도2823 판결 등 참조)\n한편 범죄의 입증은 검사가 하여야 함에도 불구하고 검사는 외부 유리에 찍힌 신발자국 사진을 누가 언제 촬영을 했으며 그 사진이 합성 또는 조작에 대한 진위 여부도 없이 공소를 제기했고 법원 판사는 위 진위 여부가 불확실한 사진을 체택하여 유죄 판결을 내렸습니다\n이 사건은 조작된 사진과 경찰관들의 갈팡질팡한 증언뿐인 사건입니다\nㅡㅡㅡㅡ설령 경찰관을 폭행 했다? 라는 ㅡ 가정하에 법률적인 공무집행방해죄 ?.........\n저는 경찰관을 발로 차지 않았으며 발로 차지 않았음에도 불구하고 강제 연행되어 방어권 보장도없이 곧바로 구속시켜 1년이라는 억울한 옥살이를 하였습니다\n저를 공무집행방해죄로 직접체포 했다는 A모 경찰관의 증언에 따르면 “B모 경찰관이 피고인의 어깨를 붙잡았을 때는 체포의 행위가 아니였기에 미란다를 고지 하지 않았다“ 라고 증언했습니다\n아울러 B모 경찰관 역시 “조0운의 어깨를 붙잡을 땐 아직 체포의 실력행사가 아니였기에 미란다 고지를 하지 않았다고“ 라고 동일한 증언을 했습니다\n그러므로 B모 경찰관의 행위는 체포의 요건도 맞지 않는 저의 어깨를 미란다 고지도 없이 강제로 붙잡았기에 더 더욱 위법한 공무집행입니다\n그렇다면 체포도 아닌데 저의 신체 자유를 침해한 위법이 있기에 적법한 공무집행이 아니며 경찰관의 그 불법적인 강제 행위에 벗어 나려고 한 저의 행위는 정당방위입니다\n공무집행방해죄는(형법 136조 1항) 그 공무원이 적법한 공무집행을수행 중 일 때 그 집행을 방해한자를 공무집행방해죄로 처벌하는 것이므로 경찰관이먼저 미란다 고지도 없이(민법 111조 1항, 의사의 표시는 상대방에게 도달한 때에 그 효력이 생긴다) 피고인의 몸을 불법적으로 붙잡았기 때문에 피고인은 그 위법한 행위을 벗어나려고 한 행위 이므로 이는 정당방위(형법 제 21조 1항)에 속합니다\n또한 B모경관의 증언에서 “ㅡ순찰차에 타지 않으려고 강하게 반항 해서 현행범 체포를 했다ㅡ” 라는 증언도 있습니다\n체포 밎 수사 과정에서도 이상하고 불법적인 면이 많고 특히나 A모, B모 경찰관의 진술과 증언에 신빙성이 없고 오히려 A모경관과 B모경관 사이의 엇갈린 (대조적인) 증언이 많은 점 자동차 파손의 사진조차 조작된 점 등으로 미루어 합리적인 증거가 없는 위 사건은 형사소송법제325조 후단에 의하여 범죄의 증명이 없는 경우에 해당하므로 무죄를 선고해야합니다.\n택시에 승차하려고하는 저를 강제로 붙잡다가 경찰관이 그 위법한 체포행위를 실행하는 과정에서 발생한 피고인의 저항을 새로운 체포 사유로 내세워 형식적으로는 공무집행방해죄의 현행범인 체포라는 절차를 내 세웠을 뿐 그 행위의 처음 발단은 경찰관의 위법한 체포 행위가 먼저이며 그 위법한 체포 행위에 대항(형법 제23조3항,정당방위)했다는 이유로 새로운 체포절차로 구속 시킨 것입니다\n1심 2심 상고심 모두 똑같은 주장을 했으나 마지막 대법 2부에서 돌아온건 기각이라는 통지서뿐....\n조잡하게 조작된 사진 증거와 이사건의 유일한 증인인 경찰관들의 진술과 증언에서도 서로 상반된 진술과 증언 뿐이였는데 ......\n하긴 최소 45분을 3분이라고 말하는 판사와 변호사도 있으니깐\n이 나라에 진실된 판사는 단 한명도 없단 말입니까????\n원심 판사들과 대법원 판사들중에서 단 한 명만이라도 이사건을 최소한 중학생의 수준으로라도 보았다면\n그래도 유죄를 내렸을까? 하는 생각으로 청원서를 올립니다"
434341,2018-11-06,2018-12-06,0,5,기타,자동차튜닝에대하여,과도한튜닝이나 요란한 머플러소리 어지러운 등화는문제있다고생각하지만 기본에서벗어나지않는 등화정도는 규제하지않아야된다고 생각한다 인증된제품 곧순정품외에 모두싸잡아 불법이라함은 좀아니라고봅니다 순정품도LED램프 지나치게밝은 것도많습니다 이 분야의 경제적 활성화를 위해서라도 규제를 완화했으면 좋겠습니다
362776,2018-09-02,2018-10-02,0,7,교통/건축/국토,서울 집값 잡으려면  지방 우대   정책  폐세요,한국  처럼  수도권에  정치  경제  인구  등  모든것이   집중된  나라  드물지요\n국토 균형 발전 안 시키고     수도권만 발전시키는   이상한  나라 요\n수십년  전부터     정치가들의  잘못된  정책으로   인구가   수도권만   몰려\n요\n노무현  신행정수도   그것은  사기공약입니다     수도이전으로  인구  이동   어렵습니다\n지방우대  정책 폐세요      독일처럼\n일자리찾아   삼만리    거주이전합니다\n지방에  대기업 이전하면  파격적으로   세금 혜택  주세요\n지방이 살아야   수도권이  삽니다\n골고루  잘살게  해주면   굳이   수도권에   갈 필요  없잖아요\n각거점  지방   대도시  로   기업체  이전  하면    국민들이   일자리  찾아 거주 이전 합니다\n인구  분산 정책 폐세요\n국민들은  좋은   일자리  찾아  거주이전  합니다\n독일은  지방 우대   정책   으로    잘하고  있답니다\n한국도  독일  처럼   해보세요\n서울 집값도   떨어집니다
